index,Pathway,Super_class,Class
O=C(O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Gallotannins
CC(=O)OC1OC(C(OC(C)=O)C(C)(C)OC(C)=O)CC1C1CCC23CC12CCC1C2(C)CCC(OC(C)=O)C(C)(C)C2CC(OC(C)=O)C13C,Terpenoids,Steroids,Cholestane steroids
COC(=O)C1(C)CCCC2(C)C3CCC(CC(=O)OCCN(C)C)C(C)C3C(O)CC12,Terpenoids,Diterpenoids,Cassane diterpenoids
CCS(=O)(=O)N1CCC2(CC1)CN(S(=O)(=O)c1ccc(C)cc1)[C@@H](CO)c1[nH]c3cc(OC)ccc3c12,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
C=C1CCC2OC2(C)CCC2C1CC2(C)C(=O)CCC(C)(C)OC(C)=O,Terpenoids,Diterpenoids,Xeniaphyllane diterpenoids
CCC(C)C(=O)O[C@H]1C[C@]23CCN(C)[C@@]24C[C@H](O[C@@]4(OC)[C@H]1OC)c1c([N+](=O)[O-])cc(OC)c(O)c13,Alkaloids,Tyrosine alkaloids,Hasubanan alkaloids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)COP(=O)(O)OC[C@H](N)C(=O)O,Fatty acids,Glycerophospholipids,Glycerophosphoserines
CC/C=C\C[C@H]1/C=C/[C@H]2[C@H](O)C[C@H](O)[C@@H]2C/C=C\CCCC(=O)O1,Fatty acids,Eicosanoids,Prostaglandins
CC#CC#CC#C/C=C/C(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
CCCCCCCCCCCCCCCCOC[C@@H](O)CO,Fatty acids,Glycerolipids,Monoacylglycerols
CC1=CC2OOC1CC1(C)CCC3(C(=O)O)C(C(C)C)CCC3C21,Terpenoids,Diterpenoids,Mulinane diterpenoids
C=CC(C)(C)c1cc2cc3c(cc2oc1=O)O[C@H](C(C)(C)OC(C)=O)C3,Shikimates and Phenylpropanoids,Coumarins,Furocoumarins
O=C(O)CCCCCCCCCCCCCCCCCCCF,Fatty acids,Fatty Acids and Conjugates,Halogenated fatty acids
CC(=O)OC1C2C(OC(C)=O)C3(OC2(C)C)C(C)(O)CCC(OC(=O)c2ccccc2)C3(C)C1OC(C)=O,Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids
CC1=CCC23CC1C(C)(C)C2CC(O)C3C,Terpenoids,Sesquiterpenoids,Cedrane and Isocedrane sesquiterpenoids
CC(=O)[C@@]1(O)C[C@@H](O)[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Terpenoids,Steroids,Pregnane steroids
CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
COc1c(O)c(C(C)C)c2cc(C)cc3c2c1C(=O)O3,Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids
COC1C=CC2CCN3CCC4COC(=O)CC4C23C1,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,Fatty acids,Glycerolipids,Triacylglycerols
CC1(C)CCC23CCC4(C)C(C(=O)CC5C6(C)CCC(O)C(C)(C)C6CCC54C)C2C1OC3=O,Terpenoids,Triterpenoids,Oleanane triterpenoids
CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC12CCC3C(C)(C)C(OC(=O)CCc4ccc(O)c(O)c4)CCC3(C)C1CCC1C(O)(CCC3C(C)(CO)C(O)CCC13C)C2,Terpenoids,Triterpenoids,Serratane triterpenoids
COc1ccc2cc1Oc1ccc(cc1)CC1NCCc3cc(OC)c(cc31)Oc1c(O)c(OC)cc3c1C(C2)N(C)CC3,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
CC1=CC(=O)OC(C=CC(C)CCC2CCC(CCC(C)C=CC3CC(C)=CC(=O)O3)(C3=CC(=O)C(C)(C)O3)C3=C2OC(C)(C)C3=O)C1,Terpenoids,Diterpenoids,Phytane diterpenoids
COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(S(C)(=O)=O)CC31CCN(CC2CCCCC2)CC1,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CC(=O)OC1CCC2(C)CCC3(C)C(=CC2=C1C=O)C(=O)CC3C(C)C,Terpenoids,Diterpenoids,Guanacastane diterpenoids
CC(C)(O)C1CCC2(C)C1CCC1(C(=O)O)C2CCC2C3(C)CCCC(C)(C)C3CC(O)C21C,Terpenoids,Triterpenoids,Hopane and Moretane triterpenoids
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(=CCO)CCC1(C)C(C)CC=C2C1CCCC2(C)C,Terpenoids,Diterpenoids,Halimane diterpenoids
CC12C=CC3(CCC4C(C)(C)C(O)C(O)CC4(C)C3CC1=O)C2,Terpenoids,Diterpenoids,Beyerane diterpenoids
CCCCCCCCCCCCCCCC(=O)OOC(=O)CC1Cc2c(C)c(O)c(C)c(C)c2OC1(C)CCCC(C)CCCC(C)CCCC(C)C,Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids
CC=C(C)C(=O)OC1c2cc(OC)c(OC)c(O)c2-c2c(cc3c(c2OC)OCO3)C(OC(=O)C=Cc2ccccc2)C(C)C1C,Shikimates and Phenylpropanoids,Lignans,Dibenzocyclooctadienes lignans
C=C1CCC2C(C3C(=C)C(OC)OC(OC(C)=O)C13)C2(C)C,Terpenoids,Sesquiterpenoids,Aromadendrane sesquiterpenoids
CC(C)C1Oc2ccc(cc2)C=CNC(=O)C(Cc2ccccc2)NC(=O)C1NC(=O)C1CCCN1C,Amino acids and Peptides,Peptide alkaloids,Ansa peptide alkaloids
CCCCCCCC(C)CCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids
COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O,Shikimates and Phenylpropanoids,Flavonoids,Neoflavonoids
COc1cc(CCc2ccc3c(c2)OCO3)oc(=O)c1,Shikimates and Phenylpropanoids,Styrylpyrones,Kavalactones and derivatives
Cc1cc(CCCCC(=O)O)oc1CCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Heterocyclic fatty acids
O=C(O)c1cc(C=CN2c3cc(O)c(OC4OC(CO)C(O)C(O)C4O)cc3CC2C(=O)O)cc(C(=O)O)n1,Alkaloids,Tyrosine alkaloids,Betalain alkaloids
CC(C)=CCC1=CC(CCO)COC1=O,Terpenoids,Meroterpenoids,Miscellaneous meroterpenoids
CCOC(=O)c1cc(=O)oc2cc(O)c(O)cc12,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
OC1CCN2Cc3ccccc3N=C12,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids
CCC(C)CCCCCCCCCCCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids
CC1(C)CCc2c(c3c(c4c(=O)c(O)c(-c5ccc(O)cc5)oc24)OC(C)(C)CC3)O1,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CC=CC=CC=Cc1ccccc1C=CC(=O)NC(C)C(=O)NC1COC(=O)C(C(C)C(=O)O)NC(=O)C(CNC(=O)C(N)C(C)C)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC1=O,Polyketides,Oligopeptides,Depsipeptides
COc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(C)CCC314,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
COc1ccc(CC2NC(=O)C=CCC(C(C)C=Cc3ccccc3)OC(=O)C(C(C)C)OC(=O)C(C)CNC2=O)cc1Cl,Amino acids and Peptides,Oligopeptides,Cryptophycins
CO[C@]1(C)CC[C@@H]2[C@@H](C2(C)C)[C@@]2(C)[C@H]1CCC2(C)C,Terpenoids,Sesquiterpenoids,Aromadendrane sesquiterpenoids
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@@H]1C(O)C(O)[C@@H](O)C(O)[C@H]1O[C@H]1OC(CO)[C@@H](O)C(O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositolglycans
CC(c1ccc(O)cc1)c1c(O)c(C2OC(CO)C(O)C(O)C2O)c2oc(-c3ccc(O)cc3)cc(=O)c2c1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
COc1cccc2c1NC(O)C1CC(C=CC(=O)N(C)C)=CN1C2=O,Alkaloids,Anthranilic acid alkaloids,Benzodiazepine alkaloids
CC(=O)OCC12C(OC(=O)c3ccoc3)C(OC(C)=O)C(OC(C)=O)C(C)C13OC(C)(C)C(C(OC(C)=O)C2OC(C)=O)C3O,Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids
COC1C=C2CC(O)CCC2(C)C2CCC3(C)C(C(C)C=CCC(C)C)CCC3C12,Terpenoids,Steroids,Cholestane steroids
CC(C)C(C)CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)c2ccc(O)cc2)c(O)c1-c1ccc(O)cc1,Shikimates and Phenylpropanoids,Terphenyls,p-Terphenyls
Cc1cc(O)c2c(c1)C(=O)c1c(Cl)c(O)c(Cl)c(O)c1C2=O,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CC1=CCC(O)C=CC(C)C(O)C(C)C=C(C)C(=O)c2c(O)c(C)cc3c2C(=O)C(NCCSC2=C4NC(=O)C(C)=CC=CC=CC(C)C(O)CC(=O)C(C)=CCC(O)C=CC(C)C(O)C(C)C=C(C)C(=O)c5c(O)c(C)cc(c5C2=O)C4=O)=C(NC(=O)C(C)=CC=CC=CC(C)C(O)CC1=O)C3=O,Polyketides,Macrolides,Ansa macrolides
C/C=C/CCCCCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
CCCCC/C=C\C/C=C\CCC(O)CCCCC(=O)O,Fatty acids,Octadecanoids,Other Octadecanoids
CC(=O)OCC12C(OC(C)=O)CC3C(OC(C)=O)C1(OC3(C)C)C(C)(O)CC(OC(=O)c1ccccc1)C2OC(=O)c1ccccc1,Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids
CCCCCC(=O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,Fatty acids,Eicosanoids,Prostaglandins
CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
COc1cc2c(c(OC)c1OC)-c1ccc(N)c(=O)cc1C(NC(C)=O)CC2,Alkaloids,Tyrosine alkaloids,Phenethylisoquinoline alkaloids
CC1=C[C@@]23CC(C)(C)C[C@@]2(O)[C@H](C)CC[C@@H]1O3,Terpenoids,Sesquiterpenoids,Asteriscane sesquiterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
CC1=C(C)C(=O)O[C@@H]([C@@H](C)[C@@]2(O)CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@@]32C)C1,Terpenoids,Steroids,Ergostane steroids
COC1OC(=O)C2C1CC(O)C(C)C1CC(C)(C)CC12O,Terpenoids,Sesquiterpenoids,Tremulane sesquiterpenoids
CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(c1c(O)c2ccccc2[nH]c1=O)C1(C)CCC(O)C(C)(C)O1,Alkaloids,Anthranilic acid alkaloids,Quinoline alkaloids
CC(=O)OC1C(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)O)CCC34C)C2(C)CO)OCC(O)C1O,Terpenoids,Triterpenoids,Oleanane triterpenoids
CC/C=C\C=C\C(=O)C/C=C\CCCCCCCC(=O)O,Fatty acids,Octadecanoids,Other Octadecanoids
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC1OC(OC(C(C=O)OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)C(O)C(O)CO)C(O)C(O)C1O,Carbohydrates,Saccharides,Polysaccharides
CC1(C)C=C2C3CCC4C5(C)CCC(=O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(=O)O)CC1,Terpenoids,Triterpenoids,Oleanane triterpenoids
CCCCCCCCCCCCCCCCCC/C=C\OC[C@@H](O)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
CC1CC2(O)OCC3(O)CCCC4C1(CC(O)c1ccoc1)C(=O)OCC432,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
CC(=O)C1CC(O)C2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,Terpenoids,Steroids,Pregnane steroids
COC(=O)[C@@]1(C)CCC[C@]2(C)C3=C(C(=O)C[C@@H]12)[C@@H](C)C(=CC(=O)O)CC3,Terpenoids,Diterpenoids,Cassane diterpenoids
CC(C)CCC(C)CCCC(C)CCCCCOC(=O)CC(C)C,Fatty acids,Fatty esters,Wax monoesters
CC12CCC(O)c3coc(c31)C(=O)C1=C2C(O)CC2(C)C(=O)CCC12,Terpenoids,Steroids,Androstane steroids
CN1CCC23c4c5ccc(OC(=O)C(F)(F)C(F)(F)F)c4OC2C(OC(=O)C(F)(F)C(F)(F)F)C=CC3C1C5,Alkaloids,Tyrosine alkaloids,Morphinan alkaloids
COc1ccc(C2CC(=O)c3c(O)c(CC=C(C)C)c4c(c3O2)C=CC(C)(C)O4)cc1O,Shikimates and Phenylpropanoids,Flavonoids,Flavanones
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CC(C)=CCC1(C)C(=O)C(C(=O)C(C)C)=C(O)C2=C1OC(C)(C)C=C2,Terpenoids,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids)
CCCCCCCCCCCCC(O)C1CCC(C(CC(O)CCCCCCCCCC(O)CCC2=CC(C)OC2=O)OC(C)=O)O1,Polyketides,Linear polyketides,Acetogenins
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCC/C=C\CCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C[C@H]1C[C@H](O)[C@]2(O)C(=O)c3c(ccc(-c4ccc5c(c4O)C(=O)[C@@]4(O)[C@@H](O)C[C@H](C)[C@H](O)[C@]4(CO)O5)c3O)O[C@@]2(CO)[C@H]1O,Polyketides,Xanthones,Methyl xanthones
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
O=C(O)CC(=O)OCC1OC(Oc2ccc(-c3cc(=O)c4c(O)cc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4o3)cc2)C(O)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
NC(CCC(=O)NCCCCNC(=O)CCC(N)C(=O)O)C(=O)O,Alkaloids,Ornithine alkaloids,Polyamines
C=C1CCC2CC3C(C)CCC13C2(C)C,Terpenoids,Sesquiterpenoids,Patchoulane sesquiterpenoids
C=CCc1ccc2c(c1)C1(O)CC[C@@H]3Oc4ccc(CC=C)cc4[C@]3(CC=C)C1(O)O2,Shikimates and Phenylpropanoids,Lignans,Neolignans
Cc1c(C)c2c(c(C)c1OC1=CC(=O)C=CC1=O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCC(OC)CC2)C(O)C(C)O1,Polyketides,Polycyclic aromatic polyketides,Anthracyclines
CCCCCC(C)C/C=C\C/C=C\C/C=C\C/C=C\CCC(C)C(=O)NCCF,Fatty acids,Fatty amides,N-acyl amines
CCCCCCCCC(C)CCCCCCCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids
COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(C)CC31CN(S(=O)(=O)c2cccs2)C1,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CCCCCCC(O)C(O)C(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,Polyketides,Linear polyketides,Open-chain polyketides
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C[C@@H]1COc2c1cc1c(c2O)C[C@@]2(O)CCCC(C)(C)[C@@H]2C[C@@H]1O,Terpenoids,Diterpenoids,Icetexane diterpenoids
CCC(O)C(C)(O)C1OC1CC(C)/C=C/C=C(\C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)/C=C/C1C,Polyketides,Macrolides,Macrolide lactones
CC12CCC(O)C(C)(C)C1CCC1(C)C2=CC=C2C3(C)CCC(O)C(C)(C)C3CCC21C,Terpenoids,Triterpenoids,Gammacerane triterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
C=C(C)C(=O)Oc1ccc(C=CC(=O)c2ccccc2)cc1,Shikimates and Phenylpropanoids,Flavonoids,Chalcones
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoserines
CCCCCCCC/C=C\CCCCCCCCCCCCCCCCCCCCCCC,Fatty acids,Fatty acyls,Hydrocarbons
CC(=O)Cn1c(=O)c2c(nc(SCC(=O)c3ccccc3)n2C)n(C)c1=O,Alkaloids,Pseudoalkaloids (transamidation),Purine alkaloids
CC1CCC2C(C)C3C(CC4C5CC=C6CC(O)CCC6(C)C5CCC43C=O)N2C1,Alkaloids,Pseudoalkaloids (transamidation),Steroidal alkaloids
CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
COC(=O)C12CCC(C(C)C)C1C1CCC3C4(C)Cc5cnoc5C(C)(C)C4CCC3(C)C1(C)CC2,Terpenoids,Triterpenoids,Lupane triterpenoids
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
CC(C)=CCCC(C)CCOC(=O)C(F)(F)C(F)(F)F,Terpenoids,Monoterpenoids,Acyclic monoterpenoids
C[C@@H]1O[C@@H](OCCCCCCCC/C=C/C(=O)O)[C@H](O)C[C@H]1OC(=O)c1c[nH]c2ccccc12,Fatty acids,Fatty acyl glycosides,Ascarosides
CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,Amino acids and Peptides,Macrolides,Antimycins
C=C1C(=O)OCC23CCC4C(C)(COC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1C3,Terpenoids,Diterpenoids,Secokaurane diterpenoids
CC(C)=C1C(=O)CCC(C)C2CCC(C)=C12,Terpenoids,Sesquiterpenoids,Aromadendrane sesquiterpenoids
C=CC(C)(CC/C=C(/C)CCC=C(C)C)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O,Terpenoids,Sesquiterpenoids,Farnesane sesquiterpenoids
CC(C)C(C)C=CC(C)C1CCC2=C3C=CC4=CC(=O)CCC4(C)C3(O)C(O)CC21C,Terpenoids,Steroids,Ergostane steroids
CCCCCCC(C)C=C(C)C=CC(=O)NC1CC2(O)C=C(Cl)C(=O)C(Cl)C2OC1OC,Polyketides,Linear polyketides,Linear polyenes
C=C(C)C1C=CC2=CC(=O)CC(C)C2(C)C1,Terpenoids,Sesquiterpenoids,Eremophilane sesquiterpenoids
CC(OC1OC(CO)C(O)C(O)C1O)C(=O)Oc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,Shikimates and Phenylpropanoids,Flavonoids,Flavones
